fips,rural_urban_continuum_code_2003,economic_typology_2015,census_2010_pop,residual_2010,r_birth_2011,r_death_2011,r_international_mig_2011,r_domestic_mig_2011,r_domestic_mig_2012,r_domestic_mig_2013,r_domestic_mig_2014,r_domestic_mig_2016
48459,3.0,0.0,39309,-2.0,13.020174951,11.579107044,0.9607119381,6.5732922081,3.1889917011,-6.677125824,11.869510351,10.753749013
48461,8.0,2.0,3355,2.0,12.382965871,11.476895198,1.5101177892,-18.42343703,-11.30288682,26.470145887,18.345952242,-1.634432035
48463,7.0,0.0,26405,-2.0,15.500367709,8.2216062303,2.2251136128,-3.959947955,-1.049986875,0.4473438956,-0.037087861,-1.443642421
48465,5.0,4.0,48879,-3.0,17.99005544,6.7181932348,0.6534412873,-11.90488345,-15.02838241,-11.44664354,-18.06127348,-12.94452056
48467,6.0,1.0,52579,-4.0,10.736108732,12.563531494,0.1522852302,0.0,-4.374653753,3.1759697709,7.8775366524,16.067237493
48469,3.0,2.0,86793,-4.0,14.400366888,8.1976610869,0.8713597799,0.7108461362,11.207145404,4.3084684846,3.8430108002,-3.305552244
48471,4.0,4.0,67861,16.0,8.94255397,7.1862422247,1.7416758141,-1.053787047,0.4378986702,7.5789961815,4.5311155721,9.6719254841
48473,1.0,3.0,43205,5.0,12.965076467,6.5738415887,0.4108650993,6.4597123944,-1.605680944,16.95954002,21.134171612,20.752480063
48475,6.0,2.0,10658,3.0,12.602868563,9.2170232777,-0.094051258,4.1382553492,9.1188238578,25.876157618,23.094485423,-11.55072839
48477,6.0,3.0,33718,-5.0,12.914856518,11.023435884,1.4185654757,4.3148033218,-3.387533875,5.6949112739,3.9647833946,-4.513050477
48479,3.0,0.0,250304,-14.0,21.671381122,4.6007825667,3.7137422261,-2.75968106,-1.664956537,-4.175039284,-7.636845618,-9.849381924
48481,4.0,0.0,41280,-6.0,13.346574944,9.5194264122,0.6540063947,-4.360042632,-7.206726278,-2.577256923,-4.840848,1.1808367072
48483,9.0,2.0,5410,-1.0,12.738853503,9.9695375242,1.6615895874,6.4617372842,24.467603081,19.991154356,-8.06168945,-29.16964925
48485,3.0,2.0,131500,-8.0,13.671138665,10.129590209,1.9192907764,-13.07707247,-2.316155182,-2.637432596,-3.2699235,-2.722530657
48487,6.0,4.0,13535,1.0,12.165720856,10.830458811,1.3352620452,-6.8988539,-16.82809169,-6.341297701,-16.8753818,-15.57740505
48489,6.0,0.0,22134,-1.0,15.363128492,6.9381870607,0.3604253019,-11.39845017,-5.994366197,-15.69177199,-10.10146972,-11.96589034
48491,1.0,0.0,422679,199.0,14.121554546,4.5398114516,1.5869762,24.924048563,19.289782252,19.966146989,25.594772061,29.290025175
48493,1.0,1.0,42918,7.0,10.263151825,7.9568255725,0.1614428377,11.67001084,10.724835265,16.121469242,15.958494779,17.003878813
48495,6.0,2.0,7110,3.0,16.421052632,9.1228070175,1.4035087719,2.6666666667,21.876719868,25.989604158,13.847547561,-26.22004767
48497,1.0,2.0,59127,2.0,13.117011807,7.5074318537,0.3023126921,8.3975747804,4.0700716831,4.9899953064,6.3558804117,21.643695763
48499,6.0,0.0,41964,-1.0,10.182112313,13.369969906,-0.142739892,6.0902354019,11.387984611,4.7917478077,14.122899777,19.109013468
48501,7.0,2.0,7879,3.0,15.547971179,6.9523448363,1.8960940463,4.8034382505,-1.37276925,2.948946366,1.3237063779,-21.16096207
48503,6.0,2.0,18550,-2.0,11.768853215,12.96200884,-0.054234347,-7.809745912,-3.05735266,3.930989299,-1.911106258,-2.702628168
48505,6.0,2.0,14018,0.0,22.32111323,5.6509147418,-1.200819383,-5.580278308,-11.08655229,-6.070967517,-14.88126282,-16.86305677
48507,7.0,0.0,11677,0.0,17.369937299,6.1853923064,2.033553635,-0.847314015,0.1674410817,3.3045561568,-7.856616744,-25.45945725
49001,9.0,5.0,6629,1.0,18.616618738,8.3245043136,0.6054184955,-25.73028606,-19.90964086,-15.43567184,-12.10334394,7.9494973112
49003,4.0,3.0,49975,-3.0,18.025374948,6.5927061963,0.2390104965,-10.43679168,-11.98725607,1.1295180723,1.372185794,11.393021059
