fips,rural_urban_continuum_code_2013,civilian_labor_force_2000,unemployment_rate_2000,median_household_income_2019
13299,5.0,15136.0,5.0,37642.0
13301,8.0,2628.0,5.5,37313.0
13303,7.0,8525.0,4.7,41674.0
13305,6.0,11295.0,4.9,47382.0
13307,8.0,1064.0,3.8,41547.0
13309,9.0,2294.0,6.2,35927.0
13311,6.0,10769.0,3.5,54786.0
13313,3.0,43422.0,3.5,53115.0
13315,8.0,3236.0,4.7,38261.0
13317,6.0,5015.0,4.6,39716.0
13319,8.0,4488.0,4.3,43902.0
13321,3.0,10240.0,4.3,43142.0
15001,5.0,73809.0,5.0,64929.0
15003,2.0,430500.0,4.1,86946.0
15007,5.0,30202.0,4.8,73029.0
15009,3.0,70883.0,3.9,77375.0
16001,2.0,170264.0,3.4,72295.0
16003,9.0,1923.0,10.0,50042.0
16005,3.0,38255.0,4.6,53306.0
16007,9.0,2952.0,4.9,54550.0
16009,6.0,4010.0,11.0,49303.0
16011,4.0,19724.0,4.4,59959.0
16013,7.0,11824.0,3.5,75778.0
16015,2.0,3425.0,4.9,64443.0
16017,6.0,17648.0,7.7,56729.0
16019,3.0,41505.0,3.4,65165.0
16021,7.0,4203.0,7.7,50709.0
16023,3.0,1445.0,4.3,51742.0
16025,9.0,536.0,3.7,56014.0
16027,2.0,65913.0,4.5,58670.0
16029,6.0,3264.0,5.1,61518.0
16031,7.0,10281.0,4.9,53284.0
16033,9.0,530.0,5.3,48726.0
16035,6.0,3694.0,13.2,49816.0
16037,8.0,2594.0,5.6,49055.0
16039,6.0,10617.0,5.7,47796.0
16041,3.0,5216.0,3.2,55421.0
16043,6.0,5636.0,4.8,56162.0
16045,2.0,7026.0,5.1,53733.0
16047,7.0,7089.0,3.8,50205.0
16049,6.0,6964.0,8.4,48866.0
16051,3.0,9007.0,3.7,63078.0
16053,7.0,9153.0,4.3,56320.0
16055,3.0,56388.0,6.3,62764.0
16057,4.0,17613.0,4.2,54999.0
16059,7.0,3815.0,8.0,46062.0
16061,8.0,1748.0,6.5,45342.0
16063,9.0,2161.0,4.4,50608.0
16065,4.0,12717.0,3.5,46177.0
16067,7.0,10150.0,5.7,56173.0
16069,3.0,18912.0,5.2,67645.0
16071,8.0,1986.0,3.4,55833.0
16073,2.0,4785.0,3.9,48395.0
16075,6.0,9806.0,6.7,53643.0
16077,6.0,3598.0,5.7,50981.0
16079,6.0,6046.0,9.8,39239.0
16081,9.0,3659.0,3.0,73637.0
16083,5.0,33670.0,4.2,56141.0
16085,8.0,4118.0,6.7,64041.0
16087,6.0,5205.0,6.8,45813.0
17001,5.0,36030.0,3.6,55942.0
17003,3.0,3632.0,7.4,37408.0
17005,1.0,8321.0,4.2,53447.0
17007,2.0,22110.0,4.7,72426.0
17009,7.0,2794.0,3.3,60254.0
17011,7.0,19174.0,4.7,57935.0
17013,1.0,2545.0,5.3,63373.0
17015,7.0,8640.0,5.5,56468.0
17017,6.0,7114.0,4.4,51011.0
17019,3.0,99423.0,3.3,53485.0
17021,6.0,17506.0,5.1,51573.0
17023,6.0,8740.0,4.7,58323.0
17025,7.0,7192.0,5.8,49377.0
17027,1.0,18385.0,3.6,67201.0
17029,5.0,28233.0,4.0,50467.0
17031,1.0,2742036.0,4.9,69375.0
17033,7.0,9611.0,5.5,50352.0
17035,9.0,5851.0,4.6,53991.0
17037,1.0,51431.0,3.4,64676.0
17039,3.0,9185.0,5.3,59521.0
17041,6.0,10367.0,3.8,64283.0
17043,1.0,532193.0,3.4,96354.0
17045,6.0,9897.0,4.3,51333.0
17047,9.0,3655.0,5.0,54930.0
17049,7.0,18396.0,4.2,58943.0
17051,6.0,10267.0,6.0,48913.0
17053,3.0,7342.0,3.6,55369.0
17055,4.0,17589.0,6.6,43695.0
17057,6.0,17702.0,5.3,50461.0
17059,8.0,2880.0,5.9,46515.0
17061,6.0,6962.0,5.1,52116.0
17063,1.0,21200.0,5.3,83135.0
17065,7.0,4002.0,4.9,51031.0
17067,7.0,10885.0,4.3,53724.0
17069,9.0,1953.0,6.3,44573.0
17071,9.0,4302.0,4.0,55535.0
17073,2.0,27393.0,4.7,61680.0
17075,6.0,16460.0,4.2,51542.0
17077,3.0,30403.0,4.2,37308.0
17079,7.0,5347.0,4.8,59980.0
17081,7.0,19151.0,5.1,50531.0
17083,1.0,11167.0,4.4,63351.0
17085,6.0,12823.0,4.1,62522.0
17087,8.0,4865.0,6.0,55022.0
17089,1.0,222441.0,4.1,84311.0
17091,3.0,52559.0,4.4,60763.0
17093,1.0,32510.0,3.3,105586.0
17095,4.0,28065.0,4.6,43404.0
17097,1.0,339463.0,3.5,92638.0
17099,4.0,56516.0,5.1,59528.0
17101,7.0,8116.0,5.4,47114.0
17103,6.0,17749.0,4.1,57619.0
17105,4.0,19557.0,3.7,54422.0
17107,6.0,15082.0,3.8,53806.0
17109,5.0,16893.0,4.1,49048.0
