fips,state,area_name,2013_urban_influence_code,percent_of_adults_with_a_high_school_diploma_only_1980,percent_of_adults_completing_some_college_or_associates_degree_2000,bachelors_degree_or_higher_2015_19,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_completing_some_college_or_associates_degree_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19
51009,VA,Amherst County,2.0,22.7,24.1,4339.0,14.364300727844238,35.981163024902344,30.559345245361328,19.095190048217773
51011,VA,Appomattox County,2.0,26.0,21.9,2319.0,14.09933376312256,33.885189056396484,31.149900436401367,20.865575790405277
51013,VA,Arlington County,1.0,24.4,15.9,130252.0,5.661959171295166,7.796900272369385,11.241827011108398,75.29931640625
51015,VA,Augusta County,2.0,29.7,22.5,12526.0,12.633145332336426,38.746849060058594,25.8905086517334,22.72949981689453
51017,VA,Bath County,7.0,29.4,23.8,500.0,9.688691139221191,42.88437271118164,31.54383659362793,15.883100509643556
51019,VA,Bedford County,2.0,28.3,26.4,16558.0,9.975128173828123,30.230548858642575,30.58686637878418,29.20745849609375
51021,VA,Bland County,7.0,29.4,23.6,701.0,11.425682067871094,42.42669296264648,31.971689224243164,14.175935745239258
51023,VA,Botetourt County,2.0,33.7,27.9,6943.0,7.241351127624512,32.30662536621094,32.12712097167969,28.324901580810547
51025,VA,Brunswick County,4.0,19.0,21.3,1670.0,21.487199783325195,36.35107803344727,28.59000396728516,13.5717191696167
51027,VA,Buchanan County,10.0,23.2,17.4,1924.0,29.91505241394043,35.07303237915039,23.253681182861328,11.758234977722168
51029,VA,Buckingham County,2.0,21.9,16.2,1582.0,20.16727066040039,42.780494689941406,24.56998634338379,12.482247352600098
51031,VA,Campbell County,2.0,28.6,25.5,8945.0,12.84509563446045,32.1554069519043,32.549442291259766,22.450056076049805
51033,VA,Caroline County,1.0,29.0,21.6,4053.0,14.929328918457031,37.715938568115234,27.463682174682617,19.891048431396484
51035,VA,Carroll County,9.0,23.8,20.9,3340.0,19.203094482421875,35.97319793701172,29.803022384643555,15.020687103271484
51036,VA,Charles City County,1.0,26.1,20.6,803.0,20.278438568115234,38.32203674316406,26.689870834350582,14.709653854370115
51037,VA,Charlotte County,7.0,22.1,18.1,918.0,16.79488754272461,40.418983459472656,31.920936584472656,10.865191459655762
51041,VA,Chesterfield County,1.0,31.3,30.7,93507.0,7.666504859924316,23.5634765625,28.29850578308105,40.47151184082031
51043,VA,Clarke County,1.0,29.1,25.3,3332.0,10.919095993041992,29.609962463378903,27.302568435668945,32.16837310791016
51045,VA,Craig County,2.0,33.7,25.0,892.0,9.167991638183594,37.51987457275391,29.676734924316406,23.635400772094727
51047,VA,Culpeper County,1.0,27.7,22.3,8844.0,13.893902778625488,31.18849372863769,29.167879104614254,25.74972343444824
51049,VA,Cumberland County,4.0,24.5,18.4,1057.0,16.495426177978516,38.14215469360352,30.485572814941406,14.87684726715088
51051,VA,Dickenson County,8.0,23.9,17.3,1165.0,22.59907913208008,38.53456115722656,28.12903213500977,10.737327575683594
51053,VA,Dinwiddie County,1.0,24.5,21.0,3823.0,16.843080520629883,36.007999420166016,28.501049041748047,18.64787101745605
51057,VA,Essex County,4.0,22.7,21.3,1370.0,17.683622360229492,37.71406936645508,27.2231388092041,17.379169464111328
51059,VA,Fairfax County,1.0,26.1,22.1,480163.0,7.520565509796143,12.795024871826172,18.129863739013672,61.55454635620117
51061,VA,Fauquier County,1.0,30.9,29.5,17487.0,7.510037422180176,26.561817169189453,29.549190521240234,36.37895584106445
51063,VA,Floyd County,2.0,23.4,19.3,2567.0,12.970134735107422,35.68293380737305,29.253808975219727,22.093122482299805
51065,VA,Fluvanna County,2.0,30.7,23.0,6544.0,8.918848991394043,24.117189407348636,33.030853271484375,33.933109283447266
51067,VA,Franklin County,2.0,28.5,24.8,8920.0,11.88084888458252,34.90764617919922,31.36054039001465,21.850963592529297
51069,VA,Frederick County,2.0,33.4,24.3,16864.0,10.81696891784668,32.37886047363281,28.548688888549805,28.25547790527344
51071,VA,Giles County,2.0,35.1,22.6,2193.0,11.071635246276855,38.71767425537109,32.091217041015625,18.119474411010746
51073,VA,Gloucester County,1.0,29.8,32.4,6300.0,10.428449630737305,32.39067077636719,33.891536712646484,23.289342880249023
51075,VA,Goochland County,1.0,24.2,20.0,7159.0,8.612635612487793,23.840944290161133,25.744482040405277,41.80193710327149
51077,VA,Grayson County,12.0,24.9,18.4,1649.0,18.748437881469727,37.23023223876953,30.28080940246582,13.740521430969238
51079,VA,Greene County,2.0,30.1,23.8,3935.0,13.933579444885254,28.58302497863769,28.44280433654785,29.040590286254883
51081,VA,Greensville County,4.0,20.6,11.9,805.0,22.2171688079834,41.2734489440918,27.35645294189453,9.15292739868164
51083,VA,Halifax County,6.0,24.2,20.6,3835.0,18.548614501953125,35.95478439331055,30.06959342956543,15.427008628845217
51085,VA,Hanover County,1.0,32.3,29.1,29042.0,6.870960712432861,25.488826751708984,27.874082565307617,39.76612854003906
51087,VA,Henrico County,1.0,31.2,28.0,99221.0,8.26430606842041,21.22539329528809,26.793676376342773,43.71662521362305
51089,VA,Henry County,5.0,28.2,22.8,5268.0,19.922815322875977,34.249691009521484,31.90240859985352,13.925087928771973
51091,VA,Highland County,7.0,31.6,21.4,422.0,11.478910446166992,38.70795440673828,27.282434463500977,22.53069877624512
51093,VA,Isle of Wight County,1.0,27.5,28.2,7107.0,12.10576343536377,27.94369506835937,32.91230773925781,27.03823471069336
51095,VA,James City County,1.0,28.1,26.9,27426.0,4.909779071807861,17.77589988708496,26.91926002502441,50.39506149291992
51097,VA,King and Queen County,4.0,27.8,20.7,1234.0,11.872845649719238,37.11221694946289,27.384143829345703,23.63079261779785
51099,VA,King George County,4.0,32.5,24.4,6246.0,6.749985694885254,26.53343391418457,30.7435359954834,35.973045349121094
51101,VA,King William County,1.0,28.9,26.1,2417.0,7.928366661071777,34.28670883178711,36.77301406860352,21.01190948486328
51103,VA,Lancaster County,12.0,24.0,22.0,2717.0,9.616053581237791,30.692495346069336,28.175386428833008,31.51606559753418
51105,VA,Lee County,7.0,21.0,19.3,2015.0,23.26020622253418,34.462650299072266,31.0858097076416,11.191335678100586
51107,VA,Loudoun County,1.0,33.9,27.7,155565.0,6.11957597732544,12.373223304748535,20.16356658935547,61.343631744384766
51109,VA,Louisa County,4.0,25.9,22.9,6308.0,14.771166801452637,32.704044342041016,28.466819763183597,24.057971954345703
51111,VA,Lunenburg County,12.0,24.0,22.6,1016.0,22.206144332885746,40.36064147949219,26.12421989440918,11.308993339538574
51113,VA,Madison County,4.0,27.4,19.4,2240.0,13.93382740020752,36.28013610839844,26.406429290771484,23.37960624694824
51115,VA,Mathews County,1.0,29.9,27.8,1929.0,9.481139183044434,30.813701629638672,31.825408935546875,27.879751205444336
51117,VA,Mecklenburg County,9.0,22.4,21.6,4583.0,18.058979034423828,31.778169631958008,29.99119758605957,20.171655654907227
51119,VA,Middlesex County,4.0,24.7,24.9,1800.0,12.937521934509276,32.63648223876953,32.923187255859375,21.5028076171875
51121,VA,Montgomery County,2.0,21.9,23.2,25446.0,6.7936530113220215,23.365020751953125,24.37281036376953,45.4685173034668
51125,VA,Nelson County,2.0,17.7,21.6,3368.0,14.254800796508787,35.199710845947266,20.178524017333984,30.36696434020996
51127,VA,New Kent County,1.0,32.9,29.6,4218.0,7.312567710876465,34.473533630371094,31.345945358276367,26.86795425415039
51131,VA,Northampton County,4.0,20.4,22.5,1970.0,17.49770164489746,34.97242736816406,24.89659881591797,22.633272171020508
51133,VA,Northumberland County,12.0,23.8,23.3,2833.0,8.950051307678223,32.680938720703125,29.49031639099121,28.87869453430176
51135,VA,Nottoway County,4.0,20.1,21.5,1627.0,20.30327796936035,37.69181823730469,27.23145294189453,14.773449897766112
51137,VA,Orange County,4.0,28.0,22.7,6342.0,11.326284408569336,34.695655822753906,28.86222267150879,25.11583709716797
51139,VA,Page County,4.0,27.4,15.3,2384.0,17.35104751586914,45.50839614868164,23.42995262145996,13.710604667663574
51141,VA,Patrick County,7.0,26.6,19.2,2063.0,19.797740936279297,34.753082275390625,30.220712661743164,15.228464126586914
51143,VA,Pittsylvania County,5.0,23.5,22.8,6574.0,17.34064483642578,35.02399063110352,33.10044479370117,14.53492259979248
51145,VA,Powhatan County,1.0,32.3,27.5,6228.0,10.138940811157228,29.994367599487305,30.63274574279785,29.233945846557617
51147,VA,Prince Edward County,4.0,21.3,22.4,3489.0,14.03374195098877,34.14110565185547,25.069019317626957,26.756134033203125
51149,VA,Prince George County,1.0,35.6,30.5,6203.0,9.411317825317385,33.78275680541992,33.24724578857422,23.558677673339844
