fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
16077,3.0,1037.0,42.2
16079,6.0,5229.0,50.1
16081,9.0,468.0,39.4
16083,5.0,10148.0,43.6
16085,8.0,873.0,42.7
16087,6.0,2403.0,53.5
17001,5.0,19295.0,47.8
17003,7.0,4792.0,65.8
17005,1.0,4423.0,55.5
17007,2.0,6205.0,47.3
17009,7.0,2086.0,60.4
17011,6.0,10430.0,47.3
17013,1.0,2364.0,68.9
17015,7.0,4979.0,45.4
17017,6.0,4370.0,52.2
17019,3.0,21416.0,30.0
17021,6.0,10979.0,52.3
17023,6.0,5558.0,56.4
17025,7.0,5464.0,61.6
17027,1.0,9066.0,62.4
17029,5.0,11368.0,47.0
17031,1.0,1477917.0,48.3
17033,6.0,6229.0,50.0
17035,9.0,3396.0,60.3
17037,1.0,11171.0,35.9
17039,6.0,4959.0,49.3
17041,6.0,4752.0,44.3
17043,1.0,70930.0,28.0
17045,6.0,6316.0,48.6
17047,9.0,2514.0,56.3
17049,7.0,7267.0,54.2
17051,6.0,7724.0,62.0
17053,3.0,3756.0,39.7
17055,5.0,15790.0,64.0
17057,6.0,12494.0,50.4
17059,8.0,3025.0,69.4
17061,6.0,5452.0,54.2
17063,1.0,6483.0,44.9
17065,7.0,3856.0,69.1
17067,7.0,5902.0,43.3
17069,9.0,2102.0,69.0
17071,9.0,2294.0,47.5
17073,2.0,14636.0,48.4
17075,6.0,9511.0,49.4
17077,5.0,10467.0,43.7
17079,7.0,3867.0,62.1
17081,7.0,11025.0,59.0
17083,1.0,5703.0,57.9
17085,6.0,6054.0,50.6
17087,7.0,2775.0,59.6
17089,1.0,57262.0,43.5
17091,3.0,27161.0,50.9
17093,1.0,4766.0,34.9
17095,4.0,15332.0,43.3
17097,1.0,68913.0,36.9
17099,4.0,31571.0,50.0
17101,7.0,5420.0,51.1
17103,4.0,9904.0,47.3
17105,4.0,10527.0,47.3
17107,6.0,9364.0,48.8
17109,5.0,6352.0,38.4
17111,1.0,25739.0,43.3
17113,3.0,20197.0,39.1
17115,3.0,32222.0,47.0
17117,1.0,14668.0,55.9
17119,1.0,72372.0,53.0
17121,4.0,13125.0,56.8
17123,2.0,3422.0,44.5
17125,6.0,5068.0,52.5
17127,7.0,5168.0,61.4
17129,3.0,2877.0,50.2
17131,2.0,4380.0,44.6
17133,1.0,6091.0,58.1
17135,6.0,9570.0,53.4
17137,4.0,9259.0,45.0
17139,6.0,4269.0,54.5
17141,4.0,10255.0,44.0
17143,2.0,49597.0,46.3
17145,7.0,7351.0,61.9
17147,3.0,3759.0,42.2
17149,7.0,5947.0,51.0
17151,9.0,1624.0,70.2
17153,9.0,3420.0,68.2
17155,8.0,1376.0,47.9
17157,6.0,11827.0,62.8
17159,7.0,5056.0,51.8
17161,2.0,41149.0,45.0
17163,1.0,85192.0,57.4
17165,7.0,10357.0,62.9
17167,3.0,39711.0,43.4
17169,7.0,2503.0,50.1
17171,9.0,2170.0,59.4
17173,6.0,7177.0,54.7
17175,2.0,1821.0,42.0
17177,4.0,12512.0,46.0
17179,2.0,29422.0,46.7
17181,7.0,6389.0,61.8
17183,3.0,29016.0,52.4
17185,6.0,3802.0,50.0
17187,7.0,5179.0,43.5
17189,6.0,5960.0,68.8
17191,7.0,6924.0,66.0
17193,6.0,6577.0,60.9
17195,4.0,16859.0,50.7
17197,1.0,61805.0,48.1
17199,5.0,16306.0,55.3
17201,2.0,61967.0,47.9
17203,2.0,6767.0,44.7
18001,6.0,6684.0,48.2
18003,2.0,58479.0,40.6
18005,3.0,12889.0,43.9
18007,3.0,2420.0,39.8
18009,6.0,4198.0,48.4
18011,1.0,7141.0,41.2
18013,1.0,2585.0,53.0
18015,3.0,4056.0,40.4
